Bank_Ticker,Year,Quarter,Total_Assets_Billion,Tier1_Capital_Ratio,Interbank_Exposure_Billion,Derivative_Notional_Billion
JPM,2019,Q4,,,,
JPM,2020,Q4,,,,
JPM,2021,Q4,,,,
JPM,2022,Q4,,,,
JPM,2023,Q4,,,,
BAC,2019,Q4,,,,
BAC,2020,Q4,,,,
BAC,2021,Q4,,,,
BAC,2022,Q4,,,,
BAC,2023,Q4,,,,
C,2019,Q4,,,,
C,2020,Q4,,,,
C,2021,Q4,,,,
C,2022,Q4,,,,
C,2023,Q4,,,,
WFC,2019,Q4,,,,
WFC,2020,Q4,,,,
WFC,2021,Q4,,,,
WFC,2022,Q4,,,,
WFC,2023,Q4,,,,
GS,2019,Q4,,,,
GS,2020,Q4,,,,
GS,2021,Q4,,,,
GS,2022,Q4,,,,
GS,2023,Q4,,,,
MS,2019,Q4,,,,
MS,2020,Q4,,,,
MS,2021,Q4,,,,
MS,2022,Q4,,,,
MS,2023,Q4,,,,
BK,2019,Q4,,,,
BK,2020,Q4,,,,
BK,2021,Q4,,,,
BK,2022,Q4,,,,
BK,2023,Q4,,,,
STT,2019,Q4,,,,
STT,2020,Q4,,,,
STT,2021,Q4,,,,
STT,2022,Q4,,,,
STT,2023,Q4,,,,